证券代码,证券名称,买入日期,卖出日期,买入持仓,交易盈亏
600592,龙溪股份,2025-07-09,2025-07-10,317086.0,-34881.47
600601,方正科技,2025-08-22,2025-08-25,72588.0,2572.0
600611,大众交通,2025-05-06,2025-05-07,77616.0,-1346.88
600629,华建集团,2025-07-18,2025-07-21,320595.0,24883.7
600651,飞乐音响,2025-08-20,2025-08-21,60180.0,1320.98
600678,四川金顶,2025-05-28,2025-05-28,200600.0,-42.41
600679,上海凤凰,2025-05-08,2025-05-09,150336.0,-4814.299999999999
600684,珠江股份,2025-07-30,2025-07-31,380103.0,33988.66
600699,均胜电子,2025-05-16,2025-05-16,163592.0,0.0
600726,华电能源,2025-04-25,2025-04-28,80000.0,5348.5599999999995
600732,爱旭股份,2025-06-11,2025-06-11,246036.0,-4709.11
600738,丽尚国潮,2025-07-23,2025-07-24,335141.0,-18629.45
600744,华银电力,2025-04-24,2025-04-29,80080.0,15194.6
600744,华银电力,2025-08-27,2025-08-28,90842.0,-6592.18
600756,浪潮软件,2025-05-26,2025-05-27,203016.0,697.3199999999999
600771,广誉远,2025-04-25,2025-04-28,83160.0,1081.12
600790,轻纺城,2025-04-22,2025-04-24,80136.0,6080.9400000000005
600821,金开新能,2025-07-09,2025-07-10,330141.0,-9060.05
600829,人民同泰,2025-07-17,2025-07-21,320040.0,15541.41
600835,上海机电,2025-08-18,2025-08-20,360213.0,20896.63
600843,上工申贝,2025-07-17,2025-07-17,311640.0,4061.3
600855,航天长峰,2025-05-07,2025-05-09,82076.0,16869.44
600860,京城股份,2025-05-20,2025-05-21,98268.0,-5605.0
600860,京城股份,2025-07-10,2025-07-11,320124.0,-22927.519999999997
600876,凯盛新能,2025-04-22,2025-04-23,80852.0,-1642.0
600877,电科芯片,2025-08-11,2025-08-12,360168.0,-8572.0
600879,航天电子,2025-05-13,2025-05-14,154880.0,-8923.52
600967,内蒙一机,2025-05-07,2025-05-08,117924.0,-1718.65
600979,广安爱众,2025-08-22,2025-08-25,360003.0,6906.0
600986,浙文互联,2025-04-30,2025-05-06,80200.0,3146.22
600986,浙文互联,2025-05-20,2025-05-20,150864.0,0.0
601010,文峰股份,2025-04-18,2025-04-21,40222.0,166.0
601089,福元医药,2025-06-11,2025-06-11,241805.0,-9219.16
601162,天风证券,2025-06-25,2025-06-26,280350.0,15727.14
601177,杭齿前进,2025-04-23,2025-04-24,80388.0,3247.94
601231,环旭电子,2025-07-25,2025-07-28,368632.0,-16202.039999999999
601236,红塔证券,2025-05-14,2025-05-15,160320.0,5370.55
601375,中原证券,2025-07-11,2025-07-14,320385.0,-16787.8
601512,中新集团,2025-07-15,2025-07-17,320100.0,25812.299999999996
601519,大智慧,2025-06-25,2025-06-26,280098.0,1987.18
601606,长城军工,2025-07-31,2025-08-01,371076.0,21185.530000000002
601609,金田股份,2025-07-14,2025-07-16,320788.0,11769.999999999998
601696,中银证券,2025-07-10,2025-07-14,330615.0,40405.03
601718,际华集团,2025-08-01,2025-08-04,350260.0,-10995.65
601778,晶科科技,2025-08-14,2025-08-15,3590740.0,-12904.0
601798,蓝科高新,2025-05-19,2025-05-20,39372.0,-507.0
601958,金钼股份,2025-07-24,2025-07-25,350544.0,4507.82
603006,联明股份,2025-07-16,2025-07-17,304560.0,-14138.85
603032,德新科技,2025-07-22,2025-07-23,350999.0,5415.0
603032,德新科技,2025-08-25,2025-08-26,349770.0,-13427.69
603038,华立股份,2025-05-09,2025-05-12,96380.0,-5820.1
603039,泛微网络,2025-07-15,2025-07-15,320868.0,-51.34
603083,剑桥科技,2025-08-17,2025-08-18,365428.0,36459.53
603103,横店影视,2025-07-16,2025-07-17,321078.0,1519.73
603119,浙江荣泰股份,2025-06-18,2025-06-19,194445.0,-3400.05
603119,浙江荣泰股份,2025-07-16,2025-07-16,323050.0,-51.69
603123,翠微股份,2025-08-21,2025-08-22,70702.0,586.69
603126,中材节能,2025-08-14,2025-08-15,3400080.0,-28247.0
603163,圣晖系统集成集团,2025-08-25,2025-08-26,73777.0,2054.92
603171,税友股份,2025-07-15,2025-07-16,322196.0,6167.55
603185,弘元绿能,2025-07-08,2025-07-09,370414.0,19730.73
603191,望变电气,2025-07-22,2025-07-23,351057.0,-17118.0
603209,兴通股份,2025-06-20,2025-06-23,271095.0,22062.39
603232,格尔软件,2025-05-23,2025-05-26,201600.0,-817.0
603232,格尔软件,2025-06-26,2025-06-27,280140.0,12399.0
603238,诺邦股份,2025-08-28,2025-08-28,368088.0,-12667.4
603258,电魂网络,2025-05-26,2025-05-26,199392.0,-4554.43
603367,辰欣药业,2025-07-21,2025-07-21,351585.0,0.0
603395,中盐红四方,2025-08-28,2025-08-28,90068.0,-14.41
603477,巨星农牧,2025-05-30,2025-06-03,126730.0,-376.84
603488,展鹏科技,2025-08-01,2025-08-04,336265.6,1032.0099999999984
603500,祥和实业,2025-08-08,2025-08-11,370326.0,17794.75
603528,多伦科技,2025-07-25,2025-07-28,380375.0,10889.689999999999
603533,掌阅科技,2025-04-28,2025-04-29,79480.0,-4213.47
603533,掌阅科技,2025-06-19,2025-06-20,271338.0,5215.0
603538,美诺华,2025-08-08,2025-08-11,370194.0,18106.77
603583,捷昌驱动,2025-07-31,2025-08-01,361920.0,-10558.51
603599,广信股份,2025-05-27,2025-05-28,203992.0,4964.639999999999
603607,京华激光,2025-05-20,2025-05-21,200376.0,-8073.0
603613,国联股份,2025-06-30,2025-07-01,291387.0,5075.32
603613,国联股份,2025-08-27,2025-08-28,270909.0,-1996.88
603648,畅联股份,2025-08-07,2025-08-08,370461.0,-7122.63
603659,璞泰来,2025-08-28,2025-08-28,264940.0,-5243.22
603688,石英股份,2025-08-21,2025-08-22,340400.0,-8119.200000000001
603716,塞力医疗,2025-08-22,2025-08-25,72496.0,4393.0
603722,阿科力,2025-06-11,2025-06-11,252638.0,-40.42
603738,泰晶科技,2025-07-17,2025-07-18,320330.0,9206.8
603768,常青股份,2025-05-21,2025-05-22,205048.0,-2960.0
603773,沃格光电,2025-07-29,2025-07-30,381645.0,-11610.66
603803,瑞斯康达,2025-05-14,2025-05-15,162864.0,3616.1
603811,诚意药业,2025-08-08,2025-08-11,370403.0,-14314.26
603893,瑞芯微,2025-04-30,2025-05-06,51141.0,451.72
603920,世运电路,2025-06-24,2025-06-25,280630.0,201.07
603936,博敏电子,2025-07-01,2025-07-02,360876.0,-27503.74
603969,银龙股份,2025-05-15,2025-05-16,15959.6,-2774.46
603969,银龙股份,2025-06-19,2025-06-20,235226.0,-43405.0
603985,恒润股份,2025-07-16,2025-07-17,308508.0,-17620.1
603988,中电电机,2025-06-12,2025-06-16,250488.0,16081.9
605088,冠盛股份,2025-07-25,2025-07-28,381330.0,10305.3
605133,嵘泰股份,2025-07-16,2025-07-17,321846.0,4694.68
605158,华达新材,2025-07-23,2025-07-24,350262.0,-2939.93
605179,一鸣食品,2025-05-27,2025-05-28,143814.0,-9852.16
605277,新亚电子,2025-07-03,2025-07-04,371046.0,14520.91
605398,新炬网络,2025-06-16,2025-06-17,251160.0,9616.81
