复权净值,累计净值,最大回撤,单位净值,涨跌幅,日期,管理人名称,产品代码,产品名称,产品简称,管理人规模,策略类型
0.998,0.998,-0.05223171889838551,0.998,-0.014807502467916983,2017-12-08,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,0.012024048096192395,2017-12-11,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.011,1.011,-0.03988603988603993,1.011,0.000990099009900881,2017-12-12,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.011,1.011,-0.03988603988603993,1.011,0.0,2017-12-13,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,-0.0009891196834815924,2017-12-14,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,0.0,2017-12-15,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,-0.000990099009901101,2017-12-18,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,0.0009910802775025887,2017-12-19,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.011,1.011,-0.03988603988603993,1.011,0.000990099009900881,2017-12-20,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.008,1.008,-0.04273504273504267,1.008,-0.002967359050444997,2017-12-21,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0009920634920633827,2017-12-22,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0,2017-12-25,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0,2017-12-26,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0,2017-12-27,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.009,1.009,-0.041785375118708494,1.009,0.0,2017-12-28,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,0.0009910802775025887,2017-12-29,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,0.0,2018-01-02,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,0.0,2018-01-03,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.01,1.01,-0.0408357075023741,1.01,0.0,2018-01-04,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
