date,nav_unit,nav_accumulated,nav_adjusted,H11009.CSI,excess_nav
2020-03-20,1.494,1.494,1.494,1.1716,1.3224
2020-03-27,1.481,1.481,1.481,1.1757,1.3053
2020-04-03,1.501,1.501,1.501,1.1783,1.3227
2020-04-10,1.496,1.496,1.496,1.1873,1.3087
2020-04-17,1.484,1.484,1.484,1.1894,1.2946
2020-04-24,1.484,1.484,1.484,1.1922,1.2918
2020-04-30,1.477,1.477,1.477,1.1933,1.2837
2020-05-08,1.48,1.48,1.48,1.1907,1.2893
2020-05-15,1.476,1.476,1.476,1.1872,1.2888
2020-05-22,1.514,1.514,1.514,1.1873,1.3267
2020-05-29,1.505,1.505,1.505,1.1824,1.3226
2020-06-05,1.549,1.549,1.549,1.1735,1.3755
2020-06-12,1.542,1.542,1.542,1.1751,1.3669
2020-06-19,1.532,1.532,1.532,1.1725,1.3595
2020-06-24,1.517,1.517,1.517,1.1716,1.3454
2020-07-03,1.562,1.562,1.562,1.1741,1.3879
2020-07-10,1.642,1.642,1.642,1.1653,1.4767
2020-07-17,1.671,1.671,1.671,1.1668,1.5042
2020-07-24,1.7,1.7,1.7,1.1719,1.5281
2020-07-31,1.65,1.65,1.65,1.1701,1.4799
2020-08-07,1.652,1.652,1.652,1.1696,1.4824
2020-08-14,1.593,1.593,1.593,1.1706,1.4224
2020-08-21,1.604,1.604,1.604,1.1693,1.4347
2020-08-28,1.592,1.592,1.592,1.1662,1.4258
2020-09-04,1.614,1.614,1.614,1.1653,1.4487
2020-09-11,1.615,1.615,1.615,1.1661,1.4489
2020-09-18,1.631,1.631,1.631,1.1665,1.4645
2020-09-25,1.634,1.634,1.634,1.1675,1.4665
2020-09-30,1.623,1.623,1.623,1.167,1.456
2020-10-09,1.63,1.63,1.63,1.167,1.463
2020-10-16,1.647,1.647,1.647,1.1664,1.4806
2020-10-23,1.614,1.614,1.614,1.1691,1.4449
2020-10-30,1.652,1.652,1.652,1.1705,1.4815
2020-11-06,1.693,1.693,1.693,1.1718,1.5212
2020-11-13,1.711,1.711,1.711,1.1706,1.5404
2020-11-20,1.756,1.756,1.756,1.1686,1.5874
2020-11-27,1.767,1.767,1.767,1.1705,1.5965
2020-12-04,1.773,1.773,1.773,1.1728,1.6002
2020-12-11,1.863,1.863,1.863,1.1737,1.6893
2020-12-18,1.865,1.865,1.865,1.1754,1.6896
2020-12-25,1.869,1.869,1.869,1.1789,1.6901
2020-12-31,1.856,1.856,1.856,1.1811,1.6749
2021-01-08,1.919,1.919,1.919,1.1833,1.7357
2021-01-15,1.9,1.9,1.9,1.1856,1.7144
2021-01-22,1.835,1.835,1.835,1.1865,1.6485
2021-01-29,1.856,1.856,1.856,1.1843,1.6717
2021-02-05,1.836,1.836,1.836,1.1837,1.6523
2021-02-10,1.897,1.897,1.897,1.1842,1.7128
2021-02-19,1.952,1.952,1.952,1.1842,1.7678
2021-02-26,2.053,2.053,2.053,1.1851,1.8679
2021-03-05,2.058,2.058,2.058,1.1869,1.8711
2021-03-12,2.068,2.068,2.068,1.1879,1.8801
2021-03-19,2.013,2.013,2.013,1.1893,1.8237
2021-03-26,2.022,2.022,2.022,1.1915,1.8305
2021-04-02,2.047,2.047,2.047,1.1926,1.8544
2021-04-09,2.018,2.018,2.018,1.1934,1.8246
2021-04-16,2.032,2.032,2.032,1.1963,1.8357
2021-04-23,2.081,2.081,2.081,1.1984,1.8826
2021-04-30,2.047,2.047,2.047,1.198,1.849
2021-05-07,2.141,2.141,2.141,1.1993,1.9417
2021-05-14,2.167,2.167,2.167,1.2011,1.9659
2021-05-21,2.166,2.166,2.166,1.2039,1.9621
2021-05-28,2.165,2.165,2.165,1.2044,1.9606
2021-06-04,2.162,2.162,2.162,1.2047,1.9573
2021-06-11,2.123,2.123,2.123,1.2038,1.9192
2021-06-18,2.095,2.095,2.095,1.2036,1.8914
2021-06-25,2.112,2.112,2.112,1.2058,1.9062
2021-07-02,2.055,2.055,2.055,1.2076,1.8474
2021-07-09,2.022,2.022,2.022,1.2121,1.8099
2021-07-16,2.01,2.01,2.01,1.216,1.794
2021-07-23,1.958,1.958,1.958,1.2192,1.7388
2021-07-30,2.002,2.002,2.002,1.2225,1.7795
2021-08-06,1.999,1.999,1.999,1.2248,1.7742
2021-08-13,2.004,2.004,2.004,1.2237,1.7803
2021-08-20,1.988,1.988,1.988,1.2258,1.7622
2021-08-27,1.97,1.97,1.97,1.2256,1.7444
2021-09-03,1.92,1.92,1.92,1.2273,1.6927
2021-09-10,1.965,1.965,1.965,1.2267,1.7383
2021-09-17,1.975,1.975,1.975,1.2265,1.7485
2021-09-24,1.955,1.955,1.955,1.2275,1.7275
2021-09-30,1.946,1.946,1.946,1.2275,1.7185
2021-10-08,1.976,1.976,1.976,1.2274,1.7486
2021-10-15,1.997,1.997,1.997,1.2254,1.7716
2021-10-22,1.984,1.984,1.984,1.2249,1.7591
2021-10-29,2.014,2.014,2.014,1.2269,1.7871
2021-11-05,2.028,2.028,2.028,1.231,1.797
2021-11-12,2.02,2.02,2.02,1.2312,1.7888
2021-11-19,2.005,2.005,2.005,1.2324,1.7726
2021-11-26,1.992,1.992,1.992,1.2354,1.7566
2021-12-03,2.023,2.023,2.023,1.2353,1.7877
2021-12-10,1.991,1.991,1.991,1.2372,1.7538
2021-12-17,1.969,1.969,1.969,1.2385,1.7305
2021-12-24,1.962,1.962,1.962,1.2394,1.7226
2021-12-31,1.943,1.943,1.943,1.2429,1.7001
2022-01-07,1.925,1.925,1.925,1.2434,1.6816
2022-01-14,1.947,1.947,1.947,1.2462,1.7008
2022-01-21,1.965,1.965,1.965,1.2522,1.7128
2022-01-28,1.978,1.978,1.978,1.2535,1.7245
2022-02-11,1.98,1.98,1.98,1.2524,1.7276
2022-02-18,1.959,1.959,1.959,1.252,1.707
2022-02-25,2.004,2.004,2.004,1.2507,1.7533
2022-03-04,2.058,2.058,2.058,1.2491,1.8089
2022-03-11,2.127,2.127,2.127,1.249,1.878
2022-03-18,2.08,2.08,2.08,1.2504,1.8296
2022-03-25,2.076,2.076,2.076,1.2509,1.8251
2022-04-01,2.052,2.052,2.052,1.253,1.799
2022-04-08,2.033,2.033,2.033,1.2559,1.7771
2022-04-15,2.076,2.076,2.076,1.2576,1.8184
2022-04-22,2.066,2.066,2.066,1.2568,1.8092
2022-04-29,2.087,2.087,2.087,1.258,1.829
2022-05-06,2.076,2.076,2.076,1.2593,1.8167
2022-05-13,2.056,2.056,2.056,1.2614,1.7946
2022-05-20,2.042,2.042,2.042,1.2636,1.7784
2022-05-27,2.072,2.072,2.072,1.2668,1.8052
2022-06-02,2.05,2.05,2.05,1.2652,1.7848
2022-06-10,2.091,2.091,2.091,1.2652,1.8258
2022-06-17,2.043,2.043,2.043,1.2658,1.7772
2022-06-24,2.041,2.041,2.041,1.266,1.775
2022-07-01,2.044,2.044,2.044,1.2656,1.7784
2022-07-08,1.045,2.045,2.0374,1.2655,1.7719
2022-07-15,1.055,2.055,2.0569,1.2691,1.7878
2022-07-22,1.062,2.062,2.0705,1.2713,1.7992
2022-07-29,1.063,2.063,2.0725,1.2741,1.7984
2022-08-05,1.064,2.064,2.0744,1.2781,1.7963
2022-08-12,1.074,2.074,2.0939,1.2775,1.8164
2022-08-19,1.062,2.062,2.0705,1.2836,1.7869
2022-08-26,1.043,2.043,2.0335,1.2827,1.7508
2022-09-02,1.049,2.049,2.0452,1.2852,1.76
2022-09-09,1.047,2.047,2.0413,1.286,1.7553
2022-09-16,1.039,2.039,2.0257,1.2861,1.7396
2022-09-23,1.038,2.038,2.0238,1.2873,1.7365
2022-09-30,1.034,2.034,2.016,1.2847,1.7313
2022-10-14,1.04,2.04,2.0277,1.2882,1.7395
