date,nav_adjusted,H11009.CSI,excess_nav
2022-04-22,2.1983,1.1367,2.0616
2022-04-25,2.1985,1.1376,2.0609
2022-04-26,2.2008,1.1379,2.0629
2022-04-27,2.2156,1.1377,2.0779
2022-04-28,2.2198,1.1375,2.0823
2022-04-29,2.2334,1.1378,2.0956
2022-05-05,2.2263,1.1387,2.0876
2022-05-06,2.211,1.139,2.072
2022-05-09,2.216,1.1395,2.0765
2022-05-10,2.2309,1.1404,2.0905
2022-05-11,2.2242,1.1405,2.0837
2022-05-12,2.2177,1.1406,2.0771
2022-05-13,2.2286,1.1409,2.0877
2022-05-16,2.2238,1.1413,2.0825
2022-05-17,2.2177,1.1418,2.0759
2022-05-18,2.2204,1.1425,2.0779
2022-05-19,2.2198,1.1431,2.0767
2022-05-20,2.2185,1.1429,2.0756
2022-05-23,2.2244,1.1435,2.0809
2022-05-24,2.2119,1.1439,2.068
2022-05-25,2.2192,1.1441,2.0751
2022-05-26,2.2206,1.1456,2.075
2022-05-27,2.2282,1.1457,2.0825
2022-05-30,2.2269,1.1456,2.0813
2022-05-31,2.2415,1.1445,2.097
2022-06-01,2.2298,1.1443,2.0855
2022-06-02,2.2384,1.1443,2.0941
2022-06-06,2.2605,1.144,2.1165
2022-06-07,2.2608,1.1437,2.1171
2022-06-08,2.2766,1.1437,2.1329
2022-06-09,2.2674,1.144,2.1234
2022-06-10,2.2839,1.1443,2.1396
2022-06-13,2.2545,1.1445,2.11
2022-06-14,2.2616,1.1441,2.1175
2022-06-15,2.2794,1.1441,2.1353
2022-06-16,2.2637,1.1443,2.1194
2022-06-17,2.2743,1.1449,2.1294
2022-06-20,2.2852,1.1447,2.1405
2022-06-21,2.2865,1.1446,2.1419
2022-06-22,2.2827,1.1448,2.1379
2022-06-23,2.2931,1.1449,2.1482
2022-06-24,2.2973,1.145,2.1523
2022-06-27,2.3042,1.144,2.1602
2022-06-28,2.3138,1.1439,2.1699
2022-06-29,2.2998,1.1439,2.1559
2022-06-30,2.3065,1.1446,2.1619
2022-07-01,2.3028,1.1447,2.1581
2022-07-04,2.3188,1.1442,2.1746
2022-07-05,2.3159,1.1442,2.1717
2022-07-06,2.3184,1.1442,2.1742
2022-07-07,2.3132,1.1443,2.1689
2022-07-08,2.3111,1.1446,2.1665
2022-07-11,2.3124,1.1454,2.167
2022-07-12,2.3115,1.1462,2.1653
2022-07-13,2.3195,1.1469,2.1726
2022-07-14,2.3201,1.1472,2.1729
2022-07-15,2.3368,1.1478,2.189
2022-07-18,2.3299,1.1485,2.1814
2022-07-19,2.3295,1.1485,2.181
2022-07-20,2.3368,1.1492,2.1876
2022-07-21,2.3339,1.15,2.1839
2022-07-22,2.3188,1.1498,2.169
2022-07-25,2.3069,1.1505,2.1564
2022-07-26,2.3216,1.1512,2.1704
2022-07-27,2.327,1.1516,2.1754
2022-07-28,2.3316,1.1515,2.1801
