date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2022-09-02,1.061,2.947,3.3922,1.519,2.8731
2022-09-09,1.065,2.951,3.405,1.5531,2.8519
2022-09-16,1.047,2.933,3.3474,1.5626,2.7849
2022-09-23,1.039,2.925,3.3219,1.5727,2.7492
2022-09-30,1.04,2.926,3.325,1.5662,2.7589
2022-10-14,1.17,3.056,3.7407,1.6014,3.1393
2022-10-21,1.195,3.081,3.8206,1.5584,3.2622
2022-10-28,1.184,3.07,3.7854,1.5359,3.2496
2022-11-04,1.191,3.077,3.8078,1.5871,3.2207
2022-11-11,1.193,3.079,3.8142,1.626,3.1882
2022-11-18,1.222,3.108,3.9069,1.6165,3.2904
2022-11-25,1.21,3.096,3.8686,1.6038,3.2648
2022-12-02,1.243,3.129,3.9741,1.6266,3.3475
2022-12-09,1.255,3.141,4.0124,1.63,3.3824
2022-12-16,1.355,3.241,4.3322,1.6442,3.688
2022-12-23,1.149,3.24,4.34,1.6296,3.7103
2022-12-30,1.13,3.221,4.2682,1.6792,3.589
2023-01-06,1.147,3.238,4.3324,1.6426,3.6898
2023-01-13,1.149,3.24,4.34,1.6785,3.6614
2023-01-20,1.135,3.226,4.2871,1.7171,3.57
2023-02-03,1.141,3.232,4.3098,1.6782,3.6316
2023-02-10,1.158,3.249,4.374,1.6665,3.7075
2023-02-17,1.145,3.236,4.3249,1.6807,3.6442
2023-02-24,1.137,3.228,4.2947,1.7004,3.5942
2023-03-03,1.133,3.224,4.2795,1.7075,3.5721
2023-03-10,1.14,3.231,4.306,1.6737,3.6323
2023-03-17,1.126,3.217,4.2531,1.6372,3.6159
2023-03-24,1.122,3.213,4.238,1.633,3.605
2023-03-31,1.113,3.204,4.204,1.6555,3.5485
2023-04-07,1.126,3.217,4.2531,1.6667,3.5864
2023-04-14,1.097,3.188,4.1436,1.658,3.4856
2023-04-21,1.086,3.177,4.102,1.6234,3.4787
2023-04-28,1.08,3.171,4.0794,1.5875,3.4919
2023-05-05,1.089,3.18,4.1133,1.5704,3.5429
2023-05-12,1.151,3.242,4.3475,1.5402,3.8074
2023-05-19,1.155,3.246,4.3626,1.5647,3.798
2023-05-26,1.178,3.269,4.4495,1.5285,3.921
2023-06-02,1.175,3.266,4.4382,1.5518,3.8864
2023-06-09,1.141,3.232,4.3098,1.5843,3.7255
2023-06-16,1.157,3.248,4.3702,1.6252,3.745
2023-06-21,1.164,3.255,4.3966,1.6176,3.7791
2023-06-30,1.165,3.256,4.4004,1.6207,3.7798
2023-07-07,1.194,3.285,4.51,1.6379,3.8721
2023-07-14,1.249,3.34,4.7177,1.6929,4.0247
2023-07-21,1.21,3.301,4.5704,1.7078,3.8626
2023-07-28,1.237,3.328,4.6724,1.7264,3.9459
2023-08-04,1.218,3.309,4.6006,1.7153,3.8853
2023-08-11,1.216,3.307,4.5931,1.7166,3.8764
2023-08-18,1.198,3.289,4.5251,1.7341,3.7909
2023-08-25,1.24,3.331,4.6837,1.7824,3.9013
2023-09-01,1.224,3.315,4.6233,1.8253,3.798
2023-09-08,1.253,3.344,4.7328,1.8028,3.93
2023-09-15,1.258,3.349,4.7517,1.852,3.8997
2023-09-22,1.263,3.354,4.7706,1.829,3.9416
2023-09-28,1.252,3.343,4.729,1.8229,3.9062
2023-10-13,1.23,3.321,4.6459,1.7687,3.8773
2023-10-20,1.215,3.306,4.5893,1.7806,3.8087
2023-10-27,1.228,3.319,4.6384,1.7948,3.8436
2023-11-03,1.23,3.321,4.6459,1.8095,3.8364
2023-11-10,1.232,3.323,4.6535,1.8024,3.8511
2023-11-17,1.217,3.308,4.5968,1.7935,3.8034
2023-11-24,1.214,3.305,4.5855,1.7981,3.7874
2023-12-01,1.203,3.294,4.5439,1.7906,3.7534
2023-12-08,1.216,3.307,4.5931,1.7966,3.7965
2023-12-15,1.223,3.314,4.6195,1.7735,3.846
2023-12-22,1.144,3.338,4.7136,1.8082,3.9054
2023-12-29,1.165,3.359,4.8001,1.7834,4.0167
2024-01-05,1.157,3.351,4.7671,1.7764,3.9907
2024-01-12,1.152,3.346,4.7465,1.7668,3.9798
2024-01-19,1.138,3.332,4.6889,1.7743,3.9145
2024-01-26,1.107,3.301,4.5611,1.8042,3.7569
2024-02-02,1.118,3.312,4.6064,1.7515,3.8549
2024-02-08,1.117,3.311,4.6023,1.7663,3.8361
2024-02-23,1.117,3.311,4.6023,1.7761,3.8262
2024-03-01,1.111,3.305,4.5776,1.7793,3.7983
2024-03-08,1.118,3.312,4.6064,1.8073,3.7991
2024-03-15,1.138,3.332,4.6889,1.7985,3.8903
2024-03-22,1.141,3.335,4.7012,1.814,3.8872
2024-03-29,1.139,3.333,4.693,1.7877,3.9053
2024-04-03,1.154,3.348,4.7548,1.8139,3.9409
2024-04-12,1.124,3.318,4.6312,1.8816,3.7496
2024-04-19,1.114,3.308,4.59,1.8894,3.7005
2024-04-26,1.114,3.308,4.59,1.9037,3.6862
2024-04-30,1.113,3.307,4.5858,1.8919,3.694
2024-05-10,1.163,3.357,4.7919,1.8843,3.9076
2024-05-17,1.159,3.353,4.7754,1.9222,3.8532
2024-05-24,1.148,3.342,4.7301,1.9334,3.7967
2024-05-31,1.141,3.335,4.7012,1.9237,3.7775
2024-06-07,1.162,3.356,4.7877,1.8907,3.8971
2024-06-14,1.166,3.36,4.8042,1.8712,3.933
2024-06-21,1.19,3.384,4.9031,1.8616,4.0415
2024-06-28,1.147,3.341,4.7259,1.8679,3.858
2024-07-05,1.172,3.366,4.8289,1.8905,3.9384
2024-07-12,1.161,3.355,4.7836,1.8574,3.9262
2024-07-19,1.18,3.374,4.8619,1.8284,4.0335
2024-07-26,1.226,3.42,5.0514,1.7851,4.2664
2024-08-02,1.214,3.408,5.002,1.7818,4.2202
2024-08-09,1.21,3.404,4.9855,1.7319,4.2537
2024-08-16,1.2,3.394,4.9443,1.7021,4.2422
