date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2021-06-11,1.5541,1.5541,1.5541,1.3714,1.1827
2021-06-18,1.5508,1.5508,1.5508,1.3235,1.2273
2021-06-25,1.5454,1.5454,1.5454,1.359,1.1864
2021-07-02,1.5211,1.5211,1.5211,1.3605,1.1606
2021-07-09,1.5022,1.5022,1.5022,1.357,1.1452
2021-07-16,1.538,1.538,1.538,1.3808,1.1572
2021-07-23,1.5338,1.5338,1.5338,1.3746,1.1592
2021-07-30,1.548,1.548,1.548,1.3929,1.1551
2021-08-06,1.5155,1.5155,1.5155,1.365,1.1505
2021-08-13,1.5332,1.5332,1.5332,1.3633,1.1699
2021-08-20,1.5326,1.5326,1.5326,1.317,1.2156
2021-08-27,1.5448,1.5448,1.5448,1.3656,1.1792
2021-09-03,1.5447,1.5447,1.5447,1.3795,1.1652
2021-09-10,1.5752,1.5752,1.5752,1.3826,1.1926
2021-09-17,1.5727,1.5727,1.5727,1.3599,1.2128
2021-09-24,1.5963,1.5963,1.5963,1.3926,1.2037
2021-09-30,1.6124,1.6124,1.6124,1.4289,1.1835
2021-10-08,1.6465,1.6465,1.6465,1.4689,1.1776
2021-10-15,1.6636,1.6636,1.6636,1.5046,1.159
2021-10-22,1.6324,1.6324,1.6324,1.45,1.1824
2021-10-29,1.6129,1.6129,1.6129,1.4009,1.212
2021-11-05,1.6189,1.6189,1.6189,1.35,1.2689
2021-11-12,1.6153,1.6153,1.6153,1.3607,1.2546
2021-11-19,1.6259,1.6259,1.6259,1.3596,1.2663
2021-11-26,1.6206,1.6206,1.6206,1.3652,1.2554
2021-12-03,1.632,1.632,1.632,1.3427,1.2893
2021-12-10,1.6303,1.6303,1.6303,1.3554,1.2749
2021-12-17,1.6221,1.6221,1.6221,1.3856,1.2365
2021-12-24,1.6259,1.6259,1.6259,1.4118,1.2141
2021-12-31,1.6177,1.6177,1.6177,1.4056,1.2121
2022-01-07,1.6468,1.6468,1.6468,1.4439,1.2029
2022-01-14,1.6828,1.6828,1.6828,1.4707,1.2121
2022-01-21,1.7374,1.7374,1.7374,1.4932,1.2442
2022-01-28,1.7492,1.7492,1.7492,1.5097,1.2395
2022-02-11,1.7868,1.7868,1.7868,1.5286,1.2582
2022-02-18,1.7686,1.7686,1.7686,1.5291,1.2395
2022-02-25,1.7813,1.7813,1.7813,1.5457,1.2356
2022-03-04,1.7956,1.7956,1.7956,1.6605,1.1351
2022-03-11,1.8305,1.8305,1.8305,1.7003,1.1302
2022-03-18,1.8003,1.8003,1.8003,1.6888,1.1115
2022-03-25,1.8229,1.8229,1.8229,1.7575,1.0654
2022-04-01,1.8119,1.8119,1.8119,1.7227,1.0892
2022-04-08,1.8048,1.8048,1.8048,1.7206,1.0842
2022-04-15,1.8271,1.8271,1.8271,1.7835,1.0436
2022-04-22,1.8204,1.8204,1.8204,1.76,1.0604
2022-04-29,1.8321,1.8321,1.8321,1.7577,1.0744
2022-05-06,1.8195,1.8195,1.8195,1.7246,1.0949
2022-05-13,1.8165,1.8165,1.8165,1.7053,1.1112
2022-05-20,1.8039,1.8039,1.8039,1.7298,1.0741
2022-05-27,1.821,1.821,1.821,1.7451,1.0759
2022-06-02,1.8205,1.8205,1.8205,1.7798,1.0407
2022-06-10,1.8552,1.8552,1.8552,1.796,1.0592
2022-06-17,1.7646,1.7646,1.7646,1.7001,1.0645
2022-06-24,1.734,1.734,1.734,1.5765,1.1575
2022-07-01,1.7443,1.7443,1.7443,1.5828,1.1615
2022-07-08,1.7432,1.7432,1.7432,1.523,1.2202
2022-07-15,1.7793,1.7793,1.7793,1.3879,1.3914
2022-07-22,1.77,1.77,1.77,1.4645,1.3055
2022-07-29,1.7584,1.7584,1.7584,1.5508,1.2076
2022-08-05,1.7558,1.7558,1.7558,1.5325,1.2233
2022-08-12,1.7804,1.7804,1.7804,1.5839,1.1965
2022-08-19,1.7704,1.7704,1.7704,1.5352,1.2352
2022-08-26,1.7774,1.7774,1.7774,1.6033,1.1741
2022-09-02,1.7327,1.7327,1.7327,1.5216,1.2111
2022-09-09,1.7195,1.7195,1.7195,1.5557,1.1638
2022-09-16,1.7168,1.7168,1.7168,1.5652,1.1516
2022-09-23,1.729,1.729,1.729,1.5753,1.1537
2022-09-30,1.7166,1.7166,1.7166,1.5688,1.1478
2022-10-14,1.7072,1.7072,1.7072,1.6041,1.1031
2022-10-21,1.6825,1.6825,1.6825,1.561,1.1215
2022-10-28,1.6882,1.6882,1.6882,1.5385,1.1497
2022-11-04,1.6692,1.6692,1.6692,1.5897,1.0795
2022-11-11,1.6743,1.6743,1.6743,1.6287,1.0456
2022-11-18,1.6661,1.6661,1.6661,1.6193,1.0468
2022-11-25,1.6419,1.6419,1.6419,1.6065,1.0354
2022-12-02,1.6591,1.6591,1.6591,1.6293,1.0298
2022-12-09,1.7077,1.7077,1.7077,1.6328,1.0749
2022-12-16,1.7115,1.7115,1.7115,1.6469,1.0646
2022-12-23,1.6925,1.6925,1.6925,1.6324,1.0601
2022-12-30,1.7174,1.7174,1.7174,1.682,1.0354
2023-01-06,1.6795,1.6795,1.6795,1.6454,1.0341
2023-01-13,1.6863,1.6863,1.6863,1.6814,1.0049
2023-01-20,1.6984,1.6984,1.6984,1.7199,0.9785
2023-02-03,1.6774,1.6774,1.6774,1.681,0.9964
2023-02-10,1.6612,1.6612,1.6612,1.6693,0.9919
2023-02-17,1.6447,1.6447,1.6447,1.6835,0.9612
2023-02-24,1.6384,1.6384,1.6384,1.7033,0.9351
2023-03-03,1.6385,1.6385,1.6385,1.7103,0.9282
2023-03-10,1.6372,1.6372,1.6372,1.6765,0.9607
2023-03-17,1.6245,1.6245,1.6245,1.6399,0.9846
2023-03-24,1.6134,1.6134,1.6134,1.6358,0.9776
2023-03-31,1.5841,1.5841,1.5841,1.6582,0.9259
2023-04-07,1.5685,1.5685,1.5685,1.6695,0.899
2023-04-14,1.5651,1.5651,1.5651,1.6607,0.9044
2023-04-21,1.5403,1.5403,1.5403,1.6261,0.9142
2023-04-28,1.5344,1.5344,1.5344,1.5901,0.9443
2023-05-05,1.5411,1.5411,1.5411,1.573,0.9681
2023-05-12,1.5347,1.5347,1.5347,1.5428,0.9919
2023-05-19,1.5323,1.5323,1.5323,1.5673,0.965
2023-05-26,1.5503,1.5503,1.5503,1.5311,1.0192
2023-06-02,1.5328,1.5328,1.5328,1.5544,0.9784
2023-06-09,1.5295,1.5295,1.5295,1.5869,0.9426
2023-06-16,1.5357,1.5357,1.5357,1.6279,0.9078
2023-06-21,1.5325,1.5325,1.5325,1.6203,0.9122
2023-06-30,1.5311,1.5311,1.5311,1.6234,0.9077
2023-07-07,1.5495,1.5495,1.5495,1.6406,0.9089
2023-07-14,1.5878,1.5878,1.5878,1.6958,0.892
2023-07-21,1.5836,1.5836,1.5836,1.7107,0.8729
2023-07-28,1.5941,1.5941,1.5941,1.7293,0.8648
2023-08-04,1.5874,1.5874,1.5874,1.7181,0.8693
2023-08-11,1.5896,1.5896,1.5896,1.7195,0.8701
2023-08-18,1.6048,1.6048,1.6048,1.737,0.8678
2023-08-25,1.6181,1.6181,1.6181,1.7854,0.8327
2023-09-01,1.6397,1.6397,1.6397,1.8283,0.8114
2023-09-08,1.6369,1.6369,1.6369,1.8058,0.8311
2023-09-15,1.6553,1.6553,1.6553,1.8551,0.8002
2023-09-22,1.63,1.63,1.63,1.8321,0.7979
2023-09-28,1.6262,1.6262,1.6262,1.8259,0.8003
2023-10-13,1.6132,1.6132,1.6132,1.7716,0.8416
2023-10-20,1.6125,1.6125,1.6125,1.7836,0.8289
2023-10-27,1.6094,1.6094,1.6094,1.7978,0.8116
2023-11-03,1.6197,1.6197,1.6197,1.8126,0.8071
2023-11-10,1.6327,1.6327,1.6327,1.8054,0.8273
2023-11-17,1.6328,1.6328,1.6328,1.7965,0.8363
2023-11-24,1.6522,1.6522,1.6522,1.8011,0.8511
2023-12-01,1.6896,1.6896,1.6896,1.7936,0.896
2023-12-08,1.6977,1.6977,1.6977,1.7996,0.8981
2023-12-15,1.6774,1.6774,1.6774,1.7765,0.9009
2023-12-22,1.6781,1.6781,1.6781,1.8112,0.8669
2023-12-29,1.6859,1.6859,1.6859,1.7864,0.8995
2024-01-05,1.6814,1.6814,1.6814,1.7794,0.902
2024-01-12,1.6643,1.6643,1.6643,1.7697,0.8946
2024-01-19,1.6548,1.6548,1.6548,1.7773,0.8775
2024-01-26,1.6568,1.6568,1.6568,1.8072,0.8496
2024-02-02,1.657,1.657,1.657,1.7545,0.9025
2024-02-08,1.6557,1.6557,1.6557,1.7692,0.8865
2024-02-23,1.6229,1.6229,1.6229,1.7791,0.8438
2024-03-01,1.6222,1.6222,1.6222,1.7823,0.8399
2024-03-08,1.6431,1.6431,1.6431,1.8103,0.8328
2024-03-15,1.6773,1.6773,1.6773,1.8016,0.8757
2024-03-22,1.6699,1.6699,1.6699,1.8171,0.8528
2024-03-29,1.6897,1.6897,1.6897,1.7907,0.899
2024-04-03,1.6989,1.6989,1.6989,1.817,0.8819
2024-04-12,1.7007,1.7007,1.7007,1.8847,0.816
2024-04-19,1.7167,1.7167,1.7167,1.8926,0.8241
2024-04-26,1.7171,1.7171,1.7171,1.9069,0.8102
2024-04-30,1.7315,1.7315,1.7315,1.895,0.8365
2024-05-10,1.7388,1.7388,1.7388,1.8874,0.8514
2024-05-17,1.7611,1.7611,1.7611,1.9254,0.8357
2024-05-24,1.7888,1.7888,1.7888,1.9366,0.8522
2024-05-31,1.7791,1.7791,1.7791,1.9269,0.8522
2024-06-07,1.7559,1.7559,1.7559,1.8938,0.8621
2024-06-14,1.7441,1.7441,1.7441,1.8743,0.8698
2024-06-21,1.7444,1.7444,1.7444,1.8647,0.8797
2024-06-28,1.74,1.74,1.74,1.8711,0.8689
2024-07-05,1.7521,1.7521,1.7521,1.8937,0.8584
2024-07-12,1.7616,1.7616,1.7616,1.8605,0.9011
2024-07-19,1.7545,1.7545,1.7545,1.8314,0.9231
2024-07-26,1.7854,1.7854,1.7854,1.7881,0.9973
2024-08-02,1.8033,1.8033,1.8033,1.7848,1.0185
2024-08-09,1.8112,1.8112,1.8112,1.7348,1.0764
2024-08-16,1.862,1.862,1.862,1.7049,1.1571
2024-08-23,1.8819,1.8819,1.8819,1.7074,1.1745
2024-08-30,1.8438,1.8438,1.8438,1.7473,1.0965
2024-09-06,1.862,1.862,1.862,1.6636,1.1984
2024-09-13,1.8695,1.8695,1.8695,1.6725,1.197
2024-09-20,1.8871,1.8871,1.8871,1.695,1.1921
2024-09-27,1.8936,1.8936,1.8936,1.7676,1.126
2024-09-30,1.8935,1.8935,1.8935,1.8276,1.0659
2024-10-11,1.9323,1.9323,1.9323,1.8159,1.1164
