date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2024-03-08,1.428,1.428,1.428,1.7556,0.6724
2024-03-15,1.469,1.469,1.469,1.7471,0.7219
2024-03-22,1.46,1.46,1.46,1.7621,0.6979
2024-03-29,1.453,1.453,1.453,1.7365,0.7165
2024-04-03,1.461,1.461,1.461,1.762,0.699
2024-04-12,1.47,1.47,1.47,1.8277,0.6423
2024-04-19,1.467,1.467,1.467,1.8353,0.6317
2024-04-26,1.461,1.461,1.461,1.8492,0.6118
2024-04-30,1.454,1.454,1.454,1.8377,0.6163
2024-05-10,1.465,1.465,1.465,1.8303,0.6347
2024-05-17,1.445,1.445,1.445,1.8672,0.5778
2024-05-24,1.461,1.461,1.461,1.878,0.583
2024-05-31,1.449,1.449,1.449,1.8686,0.5804
2024-06-07,1.457,1.457,1.457,1.8365,0.6205
2024-06-14,1.449,1.449,1.449,1.8176,0.6314
2024-06-21,1.46,1.46,1.46,1.8083,0.6517
2024-06-28,1.462,1.462,1.462,1.8145,0.6475
2024-07-05,1.46,1.46,1.46,1.8364,0.6236
2024-07-12,1.462,1.462,1.462,1.8042,0.6578
2024-07-19,1.473,1.473,1.473,1.776,0.697
2024-07-26,1.491,1.491,1.491,1.734,0.757
2024-08-02,1.494,1.494,1.494,1.7308,0.7632
2024-08-09,1.509,1.509,1.509,1.6823,0.8267
2024-08-16,1.542,1.542,1.542,1.6534,0.8886
2024-08-23,1.54,1.54,1.54,1.6557,0.8843
2024-08-30,1.526,1.526,1.526,1.6944,0.8316
2024-09-06,1.573,1.573,1.573,1.6132,0.9598
2024-09-13,1.592,1.592,1.592,1.6219,0.9701
2024-09-20,1.594,1.594,1.594,1.6437,0.9503
2024-09-27,1.642,1.642,1.642,1.7141,0.9279
2024-09-30,1.671,1.671,1.671,1.7723,0.8987
2024-10-11,1.689,1.689,1.689,1.7609,0.9281
2024-10-18,1.683,1.683,1.683,1.7292,0.9538
2024-10-25,1.674,1.674,1.674,1.7461,0.9279
